CHILDID,X4PRNCON,X4PRNSOC,X4PRNSAD,X4PRNIMP,X4TCHCON,X4TCHPER,X4TCHEXT,X4TCHINT
10000311,3.4,3.33,1,1.5,3,3,1.33,1.25
10000312,2.2,3,2,2,4,4,1.17,1.25
10000313,3.4,2,1.75,2,3.67,4,1.33,1.25
10000314, , , , , , , , 
10000315,3,3.67,1.25,2.5,3,3,1.67,1.75
10000316, , , , ,4,4,1.67,1
10000317, , , , ,3.75,3.8,1.17,1.5
10000318, , , , ,2.75,2.2,2.83,2
10000319,2.8,3.33,1.5,1.5,3.5,3.4,1,1
10000320,2.8,2.67,1.25,2,3.5,3.2,2.5,1.75
10000321,3.4,3,1.25,2,3,2.6,1.67,1.5
10000322,3,3.67,1.25,2,2,2.4,2,1.5
10000323,3.4,3.33,1.25,2,4,4,1.17,1.25
10000324, , , , , , , , 
10000325,2.4,3.33,1.75,2.5,3.25,2.8,2,2
10000326,3,3.33,2,2.5,3,2,2.5,3
10000327,4,4,1.25,3.5,2.5,3,1.83,1.25
10000328,2.6,3,2,2,4,3.8,1.33,1.25
10000329,3,2.67,2,3.5, , , , 
10000330, , , , , , , , 
10000331, , , , , ,3,2.5,1
10000332, , , , , , , , 
10000333, , , , ,4,2.8,1.83,1.5
10000334, , , , ,3.5,2.6,2,1.5
10000335,3.6,2.33,1.25,1,4,3.6,2.17,1.25
10000336,3,2.67,1.75,2,3.75,4,1.17,1.25
10000337,2.2,4,1,3.5,1.25,1,4,3
10000338, , , , , , , , 
10000339, , , , , , , , 
10000340,3.2,4,1.25,2, , , , 
10000341,2.8,2.67,1,1, , , , 
10000342, , , , , , , , 
10000343,3,3,1.25,2,3,3,1.67,1.5
10000344,3,3.67,1.75,2,3.75,3.8,1,1.25
10000345,2.8,3,1.5,3,2.75,3,2.17,2.5
10000346, , , , , , , , 
10000347, , , , ,3,3,2,2
10000348,3.6,4,1,1,2.25,2.4,2.17,2
10000349,3,3.33,1.25,3, , , , 
10000350, , , , ,3,3.2,2,2
10000351,2.4,3.67,2.25,3,2.25,2,2.83,2.25
10000352,2.6,3.67,1,2,4,4,2,1
10000353, , , , , , , , 
10000354,2.8,4,2.25,3.5,3,2.8,2.5,1.75
10000355, , , , ,3.5,3.8,1.33,1
10000356,3.4,4,1.25,1,3.5,3,1.17,1
10000357,3.4,2.67,1.75,2,3,2.75,2.67,1.5
10000358,2.8,4,2,2,2.25,1.8,2.17,1.75
10000359,3.4,2.67,1.5,1.5,3.67,3.5,1.8,1
10000360,2.6,3.33,1.25,1.5,4,4,1,1
10000361,2.6,3,1.5,2.5,3.67, ,1.17,1
10000362,3.8,4,1, ,2.75,2.8,1.5,1
10000363, , , , ,3.5,3.4,1.67,1
10000364,3.6,3.67,1,1,3.75,3.6,1.17,3.25
10000365, , , , , , , , 
10000366,3.6,3.33,1.5,3.5,3.75,3.4,1.33,1.25
10000367, , , , , , , , 
10000368,3.2,3.67,1.75,1.5,3,2.6,2.17,2
10000369,2,2.67,2,2,3.5,3.6,1.33,1.5
10000370, , , , ,2.25,1.8,3,2.5
10000371, , , , , , , , 
10000372, , , , ,3,2.4,2.17,1.5
10000373,3,2.33,1.5,2,3.25,2.6,2.17,1.5
10000374,3,3,1.33,1.5,1.75,1.6,2.83,1.25
10000375, , , , ,3,2.8,1.17,2.25
10000376,3,4,1.25,2,3.25,3.8,1.17,1.25
10000377,3.2,3.33,1.25,1.5,3.5,4,1.5,1.25
10000378,3,3.67,1.25,1.5,3.25,3.8,1.67,1.5
10000379,3.8,4,1.75,1.5, , , , 
10000380, , , , ,3.25,3.8,1.83,1.25
10000381, , , , ,3.67,2.8,1.33,2.5
10000382,2.6,4,1.75,2, , , , 
10000383,3,2.33,2.25,1.5,4,3.4,1.17,1.25
10000384,3.6,4,1.25,1.5,4,4,1,1.25
10000385, , , , ,1.5,1.75,4,2.25
10000386,2.6,3.67,2,2,3.5,4,1.4,1
10000387,2.6,3.33,1.5,2.5,2.5,2.8,2.5,2.25
10000388,3.6,4,1.25,1.5, , , , 
10000389,3.2,1,1,1,1.25,1,2.33,1.25
10000390,2.6,3,1.25,3,3,3.4,1.33,2
10000391,3,3,1,1,4,4,1.17,1.25
10000392,2.8,4,1.25,2,3,3.2,1.5,1.25
10000393, , , , , , , , 
10000394,3.2,4,1.5,1.5,3.25,2.8,1.5,2.25
10000395, , , , ,2.5,3,2.33,2
10000396,3,3,1.5,2.5,4,4,1.17,1
10000397,3.2,3.67,3,1.5, , , , 
10000398,3.6,3.33,1,2.5,3.25,3.2,1.83, 
10000399,3.4,3.67,1.75,2,3,2.4,2.83,1
10000400,3,3.67,1.25,1.5,2.5,2.2,3.83,2
10000401,2.8,2.67,1.5,3, , , , 
10000402,3.4,3.67,1.25,1,3.75,3.4,1.17,1.25
10000403, , , , ,3.25,3.6,1.83,1
10000404,2.4,2,2,2,4,3.6,1,1
10000405,3,2,2,2,4,3.4,1.33,1
10000406,2.8,2.67,1.25,2,3.5,4,1.17,1
10000407, , , , ,2.5,3,2.17,1
10000408, , , , , , , , 
10000409,3.6,4,1.75,4,3.75,4,1.83,1
10000410,2.8,4,1,1.5,3.5,3.6,1.67,2
10000411,2,3,2,3.5, , , , 
10000412, , , , ,2.75,3.4,2.17,1.75
10000413, , , , , , , , 
10000414, , , , ,2.5,2.4,2,2
10000415,3.2,3.67,1,1,3,3.4,1.67,1.5
10000416,2.8,2.33,1.75,1,3.75,3,1.33,1.75
10000417, , , , , , , , 
10000418,2.4,4,1.5,3,3.67,3.4,1.5,1.75
10000419,2.4,3,1.25,3,4,4,1.5,1.75
10000420,3.6,3.67,1,1.5,3.25,2.8,1.17,1
10000421, , , , , , , , 
10000422,3.2,4,1.75,1.5, , ,1.17,1
10000423, , , , ,2.5,2.4,3.17,1.25
10000424,3,3.33,1.5,1.5, , , , 
10000425,2.6,3.67,1.75,2,3.25,3.4,2.67,1.5
10000426, , , , , , , , 
10000427, , , , , , , , 
10000428,2.8,3.67,1.75,3,4,3.8,1.17,1
10000429,2.6,3.33,2,2,3.75,4,1.67,1.25
10000430,2,2.33,2.25,3,3.5,2.8,1.5,1.25
10000431, , , , , , , , 
10000432,3,4,1.25,2.5,2,2,3.33,2.25
10000433,1,3.67,1.75,3,4,3.4,1.67,1.5
10000434,3.2,4,1.5,2,2.75,3.4,1,1
10000435,3.8,4,1.75,1.5, , , , 
10000436, , , , , , , , 
10000437, , , , , , , , 
10000438, , , , , , , , 
10000439,2.8,3,2,2,4,3.8,1.17,2
10000440,3.4,3.33,1.5,1.5,3,2.6,1.5,2.75
10000441,3.6,3,1.5,1.5,3,3.2,1.83,1.5
10000442,2.8,3.33,1.5,1,4,3.8,1,1.5
10000443, , , , , , , , 
10000444,2.6,4,1.75,2.5,3.75,3.2,1.17,1.25
10000445, , , , , , , , 
10000446, , , , , , , , 
10000447,2.6,3.33,1.25,1.5,1.75,2,2.67,2.5
10000448,2,3,1.75,2, , , , 
10000449,3.2,3.67,1.5,1,3.5,3,1.67,2
10000450,3,3.33,1.25,2.5,4,3.8,1.67,1.5
10000451, , , , , , , , 
10000452, , , , ,3.5,3,1.33,1
10000453,3.4,4,1,2,4,4,2,1
10000454, , , , ,3.25,3.6,1.33,3
10000455,3.4,4,1,2,3,2.75,2,1.75
10000456,3.6,3.67,1.25,1,2.25,2.2,2.17,1.5
10000457, , , , , , , , 
10000458,2.4,2,1.75,2,4,4,1.17,1
10000459,3,3.67,1.25,2,3.25,3.4,2,1.75
10000460, , , , , , , , 
10000461,2.8,4,1.25,1.5,3.25,3.2,1.83,2
10000462,3.8,4,1,1,3.25,3.4,2,1.75
10000463, , , , ,3.25,3.4,2,1.5
